Which enzyme is responsible for unwinding the DNA double helix at the replication fork?,DNA Polymerase,Helicase,RNA Primase,Ligase,Helicase
In which direction is a new DNA strand always synthesized?,3' to 5',5' to 3',5' to 5',3' to 3',5' to 3'
What are the short fragments of DNA synthesized on the lagging strand called?,Okazaki fragments,Leading fragments,Primers,Replisomes,Okazaki fragments
Which enzyme joins the sugar-phosphate backbones of DNA fragments together?,Topoisomerase,Helicase,DNA Ligase,RNA Primase,DNA Ligase
What is the function of single-strand binding proteins (SSBs)?,Synthesize RNA primers,Proofread DNA,Prevent the DNA strands from re-annealing,Relieve torsional strain,Prevent the DNA strands from re-annealing
Which enzyme relieves the over-winding (strain) ahead of the replication fork?,Helicase,Topoisomerase,DNA Polymerase III,Primase,Topoisomerase
What provides the starting point for DNA Polymerase to begin synthesis?,A DNA template,A poly-A tail,An RNA primer,A promoter sequence,An RNA primer
During DNA replication; what is the role of DNA Polymerase III?,Removing RNA primers,Adding nucleotides to the new DNA strand,Unwinding the helix,Synthesizing the RNA primer,Adding nucleotides to the new DNA strand
Why is DNA replication described as 'semi-conservative'?,Both strands of the daughter molecule are new,The entire original molecule is conserved,Each daughter molecule has one old and one new strand,Only half of the DNA is replicated,Each daughter molecule has one old and one new strand
Which enzyme removes RNA primers and replaces them with DNA nucleotides?,DNA Polymerase I,DNA Polymerase III,Ligase,Helicase,DNA Polymerase I
The 'leading strand' is synthesized:,Discontinuously in fragments,In the 3' to 5' direction,Continuously toward the replication fork,Away from the replication fork,Continuously toward the replication fork
What is the specific region where DNA replication begins?,The promoter,The origin of replication,The telomere,The centromere,The origin of replication
